Detector,Descriptor,Combination,MAE,RMSE,Relative_Error_%,Stability_StdDev,Success_Rate_%,Outlier_Rate_%,Avg_Keypoints,Avg_Matches,Valid_Frames,Total_Frames,Ranking_Score
AKAZE,AKAZE,AKAZE+AKAZE,1.6008368888888889,1.9532623562136302,14.328173012618858,2.1534591719694243,100.0,0.0,1548.0,1120.5555555555557,18,18,1.2863725071463827
AKAZE,BRIEF,AKAZE+BRIEF,1.8391719444444448,2.3399068927405713,16.2267455530066,2.3753766836831494,100.0,0.0,1548.0,1008.5,18,18,1.4482817828827228
AKAZE,BRISK,AKAZE+BRISK,1.8391719444444448,2.3399068927405713,16.2267455530066,2.3753766836831494,100.0,0.0,1548.0,1008.5,18,18,1.4482817828827228
AKAZE,FREAK,AKAZE+FREAK,1.8391719444444448,2.3399068927405713,16.2267455530066,2.3753766836831494,100.0,0.0,1548.0,1008.5,18,18,1.4482817828827228
AKAZE,ORB,AKAZE+ORB,1.689114611111111,2.154961182475465,15.319769849635048,2.164000462390394,100.0,0.0,1548.0,982.3333333333334,18,18,1.3248459831615627
BRISK,BRIEF,BRISK+BRIEF,4.144817388888889,5.177524878645088,36.29195680936465,4.098763238038125,100.0,33.33333333333333,2988.3888888888887,1580.1666666666667,18,18,3.2208892603003263
BRISK,BRISK,BRISK+BRISK,4.144817388888889,5.177524878645088,36.29195680936465,4.098763238038125,100.0,33.33333333333333,2988.3888888888887,1580.1666666666667,18,18,3.2208892603003263
BRISK,FREAK,BRISK+FREAK,4.144817388888889,5.177524878645088,36.29195680936465,4.098763238038125,100.0,33.33333333333333,2988.3888888888887,1580.1666666666667,18,18,3.2208892603003263
BRISK,ORB,BRISK+ORB,4.023166722222222,4.762995635039343,36.249498544260405,3.1744755035887926,100.0,33.33333333333333,2988.3888888888887,1485.3333333333333,18,18,2.89494267329886
FAST,BRIEF,FAST+BRIEF,1.6090270555555553,1.9405205606522613,14.922130341398743,0.8698217704092894,100.0,0.0,5282.333333333333,2241.0,18,18,0.9045573533450089
FAST,BRISK,FAST+BRISK,1.6090270555555553,1.9405205606522613,14.922130341398743,0.8698217704092894,100.0,0.0,5282.333333333333,2241.0,18,18,0.9045573533450089
FAST,FREAK,FAST+FREAK,1.6090270555555553,1.9405205606522613,14.922130341398743,0.8698217704092894,100.0,0.0,5282.333333333333,2241.0,18,18,0.9045573533450089
FAST,ORB,FAST+ORB,1.607030833333333,1.9779495662582134,14.72303083558062,1.0952765989809532,100.0,0.0,5282.333333333333,2853.0555555555557,18,18,0.9713953130276192
HARRIS,BRIEF,HARRIS+BRIEF,2.4449943125000004,3.36997784315041,24.019988745441502,2.64021295124038,100.0,12.5,328.25,184.25,16,16,1.8950616103721143
HARRIS,BRISK,HARRIS+BRISK,2.4449943125000004,3.36997784315041,24.019988745441502,2.64021295124038,100.0,12.5,328.25,184.25,16,16,1.8950616103721143
HARRIS,FREAK,HARRIS+FREAK,2.4449943125000004,3.36997784315041,24.019988745441502,2.64021295124038,100.0,12.5,328.25,184.25,16,16,1.8950616103721143
HARRIS,ORB,HARRIS+ORB,1.658048588235294,2.264935675615249,16.624357004191275,1.8489704260742155,100.0,11.76470588235294,327.6470588235294,217.05882352941177,17,17,1.3355576219399117
ORB,BRIEF,ORB+BRIEF,9.570212666666665,16.233119115415583,79.45904602964464,14.810433304546725,100.0,40.0,500.0,311.6,15,15,8.671215058030684
ORB,BRISK,ORB+BRISK,9.570212666666665,16.233119115415583,79.45904602964464,14.810433304546725,100.0,40.0,500.0,311.6,15,15,8.671215058030684
ORB,FREAK,ORB+FREAK,9.570212666666665,16.233119115415583,79.45904602964464,14.810433304546725,100.0,40.0,500.0,311.6,15,15,8.671215058030684
ORB,ORB,ORB+ORB,12.842505999999998,17.965621581765713,116.736757136136,13.010774450065696,100.0,66.66666666666666,500.0,326.1111111111111,9,9,9.706901401686375
SHITOMASI,BRIEF,SHITOMASI+BRIEF,2.0708076666666666,2.4639651448169877,19.22930486813583,1.4106895872826484,100.0,6.666666666666667,838.6,365.0,15,15,1.318196609518128
SHITOMASI,BRISK,SHITOMASI+BRISK,2.0708076666666666,2.4639651448169877,19.22930486813583,1.4106895872826484,100.0,6.666666666666667,838.6,365.0,15,15,1.318196609518128
SHITOMASI,FREAK,SHITOMASI+FREAK,2.0708076666666666,2.4639651448169877,19.22930486813583,1.4106895872826484,100.0,6.666666666666667,838.6,365.0,15,15,1.318196609518128
SHITOMASI,ORB,SHITOMASI+ORB,2.5621772941176473,4.810672650608974,22.094344929479643,4.8000366435531685,100.0,11.76470588235294,835.0588235294117,442.70588235294116,17,17,2.582528969536539
SIFT,BRIEF,SIFT+BRIEF,0.8698783888888892,1.129896480665646,7.35331467733867,2.6961744269713703,100.0,0.0,1983.0555555555557,774.6666666666666,18,18,1.1568036836469668
SIFT,BRISK,SIFT+BRISK,0.8698783888888892,1.129896480665646,7.35331467733867,2.6961744269713703,100.0,0.0,1983.0555555555557,774.6666666666666,18,18,1.1568036836469668
SIFT,FREAK,SIFT+FREAK,0.8698783888888892,1.129896480665646,7.35331467733867,2.6961744269713703,100.0,0.0,1983.0555555555557,774.6666666666666,18,18,1.1568036836469668
