Detector,Descriptor,Frame,TTC_Lidar,TTC_Camera,TTC_Difference,Keypoints,Matches,Valid_TTC
SIFT,BRISK,15,8.521566,9.596587,1.075020,2044,846,1
SIFT,BRISK,16,9.515525,9.186536,0.328989,2090,827,1
SIFT,BRISK,17,9.612415,9.464514,0.147901,2095,900,1
SIFT,BRISK,18,8.398803,9.326502,0.927699,2160,863,1
SIFT,BRIEF,1,12.515600,12.745551,0.229951,1915,730,1
SIFT,BRIEF,2,12.614245,13.187562,0.573316,1824,733,1
SIFT,BRIEF,3,14.091013,14.824926,0.733914,1837,743,1
SIFT,BRIEF,4,16.689386,18.944621,2.255235,1828,725,1
SIFT,BRIEF,5,15.746544,15.072666,0.673878,1877,735,1
SIFT,BRIEF,6,12.783491,12.042417,0.741074,1931,711,1
SIFT,BRIEF,7,11.984351,14.181036,2.196685,1963,758,1
SIFT,BRIEF,8,13.124118,15.630655,2.506537,1954,740,1
SIFT,BRIEF,9,13.024118,13.749225,0.725107,1984,740,1
SIFT,BRIEF,10,11.174641,12.137512,0.962870,2043,748,1
SIFT,BRIEF,11,12.808601,12.758828,0.049773,2065,765,1
SIFT,BRIEF,12,8.959780,9.982315,1.022535,2007,772,1
SIFT,BRIEF,13,9.964390,9.503120,0.461270,2030,792,1
SIFT,BRIEF,14,9.598630,9.552575,0.046055,2048,816,1
SIFT,BRIEF,15,8.521566,9.596587,1.075020,2044,846,1
SIFT,BRIEF,16,9.515525,9.186536,0.328989,2090,827,1
SIFT,BRIEF,17,9.612415,9.464514,0.147901,2095,900,1
SIFT,BRIEF,18,8.398803,9.326502,0.927699,2160,863,1
SIFT,FREAK,1,12.515600,12.745551,0.229951,1915,730,1
SIFT,FREAK,2,12.614245,13.187562,0.573316,1824,733,1
SIFT,FREAK,3,14.091013,14.824926,0.733914,1837,743,1
SIFT,FREAK,4,16.689386,18.944621,2.255235,1828,725,1
SIFT,FREAK,5,15.746544,15.072666,0.673878,1877,735,1
SIFT,FREAK,6,12.783491,12.042417,0.741074,1931,711,1
SIFT,FREAK,7,11.984351,14.181036,2.196685,1963,758,1
SIFT,FREAK,8,13.124118,15.630655,2.506537,1954,740,1
SIFT,FREAK,9,13.024118,13.749225,0.725107,1984,740,1
SIFT,FREAK,10,11.174641,12.137512,0.962870,2043,748,1
SIFT,FREAK,11,12.808601,12.758828,0.049773,2065,765,1
SIFT,FREAK,12,8.959780,9.982315,1.022535,2007,772,1
SIFT,FREAK,13,9.964390,9.503120,0.461270,2030,792,1
SIFT,FREAK,14,9.598630,9.552575,0.046055,2048,816,1
SIFT,FREAK,15,8.521566,9.596587,1.075020,2044,846,1
SIFT,FREAK,16,9.515525,9.186536,0.328989,2090,827,1
SIFT,FREAK,17,9.612415,9.464514,0.147901,2095,900,1
SIFT,FREAK,18,8.398803,9.326502,0.927699,2160,863,1
